branch_name	release_date	serie_folder	set_folder	card_count	priority_tier	priority_score	localized_additions	net_insertions	excluded_reason
pr/Black-White-BW-Black-Star-Promos	2011-04-26	Black & White	BW Black Star Promos	101	3	101	0	0	
pr/Diamond-Pearl-DP-Black-Star-Promos	2007-05-01	Diamond & Pearl	DP Black Star Promos	56	3	113	6	9	
pr/EX-Unseen-Forces-Unown-Collection	2005-08-22	EX	Unseen Forces Unown Collection	1	3	45	5	4	
pr/POP-Nintendo-Black-Star-Promos	2003-10-01	POP	Nintendo Black Star Promos	40	3	90	3	26	
pr/Base-Wizards-Black-Star-Promos	1999-07-01	Base	Wizards Black Star Promos	53	3	53	0	0	
pr/Mega-Evolution-Eternals	2026-10-16	Mega Evolution	Eternals	0	4	-500	2	21	
pr/Mega-Evolution-Radiant-Ruby-Shining-Sapphire	2026-08-07	Mega Evolution	Radiant Ruby & Shining Sapphire	0	4	-500	2	21	
pr/Mega-Evolution-Chaos-Rising	2026-06-19	Mega Evolution	Chaos Rising	0	4	-500	2	21	
pr/Mega-Evolution-Perfect-Order	2026-04-11	Mega Evolution	Perfect Order	0	4	-500	2	21	
pr/Scarlet-Violet-Black-Bolt	2025-07-17	Scarlet & Violet	Black Bolt	2	4	-500	4	0	
pr/Scarlet-Violet-White-Flare	2025-07-17	Scarlet & Violet	White Flare	2	4	-500	4	0	
pr/Scarlet-Violet-Journey-Together	2025-03-28	Scarlet & Violet	Journey Together	2	4	-500	4	0	
pr/Scarlet-Violet-Temporal-Forces	2024-03-22	Scarlet & Violet	Temporal Forces	1	4	-500	2	0	
pr/Scarlet-Violet-Paldean-Fates	2024-01-26	Scarlet & Violet	Paldean Fates	1	4	-500	2	0	
pr/Sword-Shield-Crown-Zenith	2023-01-20	Sword & Shield	Crown Zenith	0	4	-500	0	11	
pr/Sword-Shield-Silver-Tempest	2022-11-11	Sword & Shield	Silver Tempest	0	4	-500	0	11	
pr/Sword-Shield-Lost-Origin	2022-09-09	Sword & Shield	Lost Origin	0	4	-500	0	11	
pr/Sword-Shield-Astral-Radiance	2022-05-27	Sword & Shield	Astral Radiance	0	4	-500	0	11	
pr/Sword-Shield-Brilliant-Stars	2022-02-25	Sword & Shield	Brilliant Stars	0	4	-500	0	11	
pr/Sword-Shield-Shining-Fates	2021-02-19	Sword & Shield	Shining Fates	0	4	-500	0	11	
pr/Sun-Moon-Hidden-Fates	2019-08-23	Sun & Moon	Hidden Fates	3	4	-500	3	0	
pr/Sun-Moon-Shining-Legends	2017-10-06	Sun & Moon	Shining Legends	1	4	-500	2	0	
pr/XY-Steam-Siege	2016-08-03	XY	Steam Siege	1	4	-500	2	0	
pr/XY-Fates-Collide	2016-05-02	XY	Fates Collide	2	4	-500	4	0	
pr/XY-Generations	2016-02-22	XY	Generations	0	4	-500	1	12	
pr/XY-Roaring-Skies	2015-05-06	XY	Roaring Skies	2	4	-500	4	0	
