serie_folder	set_folder	branch_name	card_count	path_count	paths_json	serie_id	set_id	pr_status	pr_url
EX	Dragon	pr/EX-Dragon	4	4	["data/EX/Dragon/85.ts", "data/EX/Dragon/86.ts", "data/EX/Dragon/87.ts", "data/EX/Dragon/88.ts"]	ex	ex3	pending	
EX	Dragon Frontiers	pr/EX-Dragon-Frontiers	15	15	["data/EX/Dragon Frontiers/10.ts", "data/EX/Dragon Frontiers/73.ts", "data/EX/Dragon Frontiers/74.ts", "data/EX/Dragon Frontiers/75.ts", "data/EX/Dragon Frontiers/76.ts", "data/EX/Dragon Frontiers/77.ts", "data/EX/Dragon Frontiers/79.ts", "data/EX/Dragon Frontiers/80.ts", "data/EX/Dragon Frontiers/82.ts", "data/EX/Dragon Frontiers/84.ts", "data/EX/Dragon Frontiers/85.ts", "data/EX/Dragon Frontiers/86.ts", "data/EX/Dragon Frontiers/87.ts", "data/EX/Dragon Frontiers/88.ts", "data/EX/Dragon Frontiers/89.ts"]	ex	ex15	pending	
EX	Emerald	pr/EX-Emerald	9	9	["data/EX/Emerald/75.ts", "data/EX/Emerald/77.ts", "data/EX/Emerald/79.ts", "data/EX/Emerald/82.ts", "data/EX/Emerald/84.ts", "data/EX/Emerald/85.ts", "data/EX/Emerald/86.ts", "data/EX/Emerald/88.ts", "data/EX/Emerald/89.ts"]	ex	ex9	pending	
EX	FireRed & LeafGreen	pr/EX-FireRed-LeafGreen	6	6	["data/EX/FireRed & LeafGreen/101.ts", "data/EX/FireRed & LeafGreen/103.ts", "data/EX/FireRed & LeafGreen/87.ts", "data/EX/FireRed & LeafGreen/88.ts", "data/EX/FireRed & LeafGreen/94.ts", "data/EX/FireRed & LeafGreen/98.ts"]	ex	ex6	pending	
EX	Hidden Legends	pr/EX-Hidden-Legends	8	8	["data/EX/Hidden Legends/84.ts", "data/EX/Hidden Legends/85.ts", "data/EX/Hidden Legends/86.ts", "data/EX/Hidden Legends/87.ts", "data/EX/Hidden Legends/88.ts", "data/EX/Hidden Legends/89.ts", "data/EX/Hidden Legends/91.ts", "data/EX/Hidden Legends/92.ts"]	ex	ex5	pending	
EX	Holon Phantoms	pr/EX-Holon-Phantoms	11	11	["data/EX/Holon Phantoms/85.ts", "data/EX/Holon Phantoms/87.ts", "data/EX/Holon Phantoms/88.ts", "data/EX/Holon Phantoms/89.ts", "data/EX/Holon Phantoms/91.ts", "data/EX/Holon Phantoms/93.ts", "data/EX/Holon Phantoms/94.ts", "data/EX/Holon Phantoms/95.ts", "data/EX/Holon Phantoms/96.ts", "data/EX/Holon Phantoms/97.ts", "data/EX/Holon Phantoms/98.ts"]	ex	ex13	pending	
EX	Legend Maker	pr/EX-Legend-Maker	10	10	["data/EX/Legend Maker/72.ts", "data/EX/Legend Maker/73.ts", "data/EX/Legend Maker/74.ts", "data/EX/Legend Maker/75.ts", "data/EX/Legend Maker/76.ts", "data/EX/Legend Maker/77.ts", "data/EX/Legend Maker/78.ts", "data/EX/Legend Maker/80.ts", "data/EX/Legend Maker/81.ts", "data/EX/Legend Maker/82.ts"]	ex	ex12	pending	
EX	Power Keepers	pr/EX-Power-Keepers	15	15	["data/EX/Power Keepers/71.ts", "data/EX/Power Keepers/72.ts", "data/EX/Power Keepers/76.ts", "data/EX/Power Keepers/79.ts", "data/EX/Power Keepers/80.ts", "data/EX/Power Keepers/81.ts", "data/EX/Power Keepers/82.ts", "data/EX/Power Keepers/83.ts", "data/EX/Power Keepers/84.ts", "data/EX/Power Keepers/86.ts", "data/EX/Power Keepers/87.ts", "data/EX/Power Keepers/88.ts", "data/EX/Power Keepers/89.ts", "data/EX/Power Keepers/90.ts", "data/EX/Power Keepers/91.ts"]	ex	ex16	pending	
EX	Ruby & Sapphire	pr/EX-Ruby-Sapphire	5	5	["data/EX/Ruby & Sapphire/83.ts", "data/EX/Ruby & Sapphire/89.ts", "data/EX/Ruby & Sapphire/93.ts", "data/EX/Ruby & Sapphire/94.ts", "data/EX/Ruby & Sapphire/95.ts"]	ex	ex1	pending	
EX	Sandstorm	pr/EX-Sandstorm	5	5	["data/EX/Sandstorm/87.ts", "data/EX/Sandstorm/89.ts", "data/EX/Sandstorm/90.ts", "data/EX/Sandstorm/92.ts", "data/EX/Sandstorm/93.ts"]	ex	ex2	pending	
EX	Team Magma vs Team Aqua	pr/EX-Team-Magma-vs-Team-Aqua	10	10	["data/EX/Team Magma vs Team Aqua/69.ts", "data/EX/Team Magma vs Team Aqua/70.ts", "data/EX/Team Magma vs Team Aqua/71.ts", "data/EX/Team Magma vs Team Aqua/73.ts", "data/EX/Team Magma vs Team Aqua/77.ts", "data/EX/Team Magma vs Team Aqua/78.ts", "data/EX/Team Magma vs Team Aqua/82.ts", "data/EX/Team Magma vs Team Aqua/83.ts", "data/EX/Team Magma vs Team Aqua/86.ts", "data/EX/Team Magma vs Team Aqua/87.ts"]	ex	ex4	pending	
EX	Unseen Forces	pr/EX-Unseen-Forces	7	7	["data/EX/Unseen Forces/100.ts", "data/EX/Unseen Forces/86.ts", "data/EX/Unseen Forces/89.ts", "data/EX/Unseen Forces/96.ts", "data/EX/Unseen Forces/97.ts", "data/EX/Unseen Forces/98.ts", "data/EX/Unseen Forces/99.ts"]	ex	ex10	pending	
EX	Unseen Forces Unown Collection	pr/EX-Unseen-Forces-Unown-Collection	1	1	["data/EX/Unseen Forces Unown Collection/%3F.ts"]	ex	exu	pending	
HeartGold & SoulSilver	HGSS Black Star Promos	pr/HeartGold-SoulSilver-HGSS-Black-Star-Promos	27	27	["data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS01.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS02.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS03.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS04.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS05.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS06.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS07.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS08.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS09.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS10.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS11.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS12.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS13.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS14.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS15.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS16.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS17.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS18.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS19.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS20.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS21.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS22.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS23.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS24.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/HGSS25.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/unnumbered1.ts", "data/HeartGold & SoulSilver/HGSS Black Star Promos/unnumbered2.ts"]	hgss	hgssp	pending	
HeartGold & SoulSilver	HeartGold SoulSilver	pr/HeartGold-SoulSilver-HeartGold-SoulSilver	2	2	["data/HeartGold & SoulSilver/HeartGold SoulSilver/111.ts", "data/HeartGold & SoulSilver/HeartGold SoulSilver/113.ts"]	hgss	hgss1	pending	
HeartGold & SoulSilver	Triumphant	pr/HeartGold-SoulSilver-Triumphant	4	4	["data/HeartGold & SoulSilver/Triumphant/100.ts", "data/HeartGold & SoulSilver/Triumphant/101.ts", "data/HeartGold & SoulSilver/Triumphant/102.ts", "data/HeartGold & SoulSilver/Triumphant/99.ts"]	hgss	hgss4	pending	
HeartGold & SoulSilver	Undaunted	pr/HeartGold-SoulSilver-Undaunted	4	4	["data/HeartGold & SoulSilver/Undaunted/87.ts", "data/HeartGold & SoulSilver/Undaunted/88.ts", "data/HeartGold & SoulSilver/Undaunted/89.ts", "data/HeartGold & SoulSilver/Undaunted/90.ts"]	hgss	hgss3	pending	
HeartGold & SoulSilver	Unleashed	pr/HeartGold-SoulSilver-Unleashed	6	6	["data/HeartGold & SoulSilver/Unleashed/90.ts", "data/HeartGold & SoulSilver/Unleashed/91.ts", "data/HeartGold & SoulSilver/Unleashed/92.ts", "data/HeartGold & SoulSilver/Unleashed/93.ts", "data/HeartGold & SoulSilver/Unleashed/94.ts", "data/HeartGold & SoulSilver/Unleashed/95.ts"]	hgss	hgss2	pending	
McDonald's Collection	Collection McDonald's 2013	pr/McDonald-s-Collection-Collection-McDonald-s-2013	12	13	["data/McDonald's Collection/Collection McDonald's 2013.ts", "data/McDonald's Collection/Collection McDonald's 2013/1.ts", "data/McDonald's Collection/Collection McDonald's 2013/10.ts", "data/McDonald's Collection/Collection McDonald's 2013/11.ts", "data/McDonald's Collection/Collection McDonald's 2013/12.ts", "data/McDonald's Collection/Collection McDonald's 2013/2.ts", "data/McDonald's Collection/Collection McDonald's 2013/3.ts", "data/McDonald's Collection/Collection McDonald's 2013/4.ts", "data/McDonald's Collection/Collection McDonald's 2013/5.ts", "data/McDonald's Collection/Collection McDonald's 2013/6.ts", "data/McDonald's Collection/Collection McDonald's 2013/7.ts", "data/McDonald's Collection/Collection McDonald's 2013/8.ts", "data/McDonald's Collection/Collection McDonald's 2013/9.ts"]	mc	2013bw	pending	
